"","RouteID","StartDestName","EndDestName","CarJourneys","","","StartDestID","EndDestID","CarTarvellers","BusJourneys","BusTarvellers","FootJourneys","FootTarvellers","BoatJourneys","BoatTarvellers","CycleJourneys","CycleTarvellers","TrainJourneys","TrainTarvellers","MotorbikeJourneys","MotorbikeTravellers","TotalJourneys","TotalTravellers"
"115","B33317-33334","Grizedale","Grasmere",2,0.00137080191912269,0.544893762851268,33317,33334,7,0,0,1,2,0,0,0,0,0,0,0,0,3,9
"116","B33317-33364","Grizedale","Langdales",2,0.00137080191912269,0.54626456477039,33317,33364,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8
"117","B33317-33430","Grizedale","Bowness",2,0.00137080191912269,0.547635366689513,33317,33430,10,0,0,1,6,0,0,1,4,0,0,0,0,2,10
"118","B33317-33510","Grizedale","Ambleside",2,0.00137080191912269,0.549006168608636,33317,33510,9,0,0,1,2,0,0,0,0,0,0,0,0,3,11
"119","B33323-33334","Blackpool","Grasmere",2,0.00137080191912269,0.550376970527758,33323,33334,2,1,3,0,0,0,0,0,0,0,0,0,0,3,5
"120","B33334-33400","Grasmere","Thirlmere",2,0.00137080191912269,0.551747772446881,33334,33400,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"121","B33334-33410","Grasmere","Lancaster Railway Station, Lancaster",2,0.00137080191912269,0.553118574366004,33334,33410,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"122","B33334-33440","Grasmere","Haweswater",2,0.00137080191912269,0.554489376285126,33334,33440,3,0,0,1,1,0,0,0,0,0,0,0,0,3,4
"123","B33334-33441","Grasmere","Lakeside",2,0.00137080191912269,0.555860178204249,33334,33441,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"124","B33334-33478","Grasmere","Rheged",2,0.00137080191912269,0.557230980123371,33334,33478,2,0,0,1,4,0,0,0,0,0,0,0,0,3,6
"125","B33334-33507","Grasmere","Hawkshead",2,0.00137080191912269,0.558601782042494,33334,33507,7,2,8,0,0,0,0,0,0,0,0,0,0,5,17
"126","B33334-33542","Grasmere","Blackwell, Carlisle",2,0.00137080191912269,0.559972583961617,33334,33542,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"127","B33334-33601","Grasmere","Broughton",2,0.00137080191912269,0.561343385880739,33334,33601,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8
"128","B33335-33358","Little Arrow","Low Arnside, Coniston",2,0.00137080191912269,0.562714187799862,33335,33358,4,0,0,2,4,0,0,0,0,0,0,0,0,4,8
"129","B33340-33352","Skelwith Bridge","Tarn Hows",2,0.00137080191912269,0.564084989718985,33340,33352,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"130","B33340-33430","Skelwith Bridge","Bowness",2,0.00137080191912269,0.565455791638107,33340,33430,5,1,2,1,2,0,0,0,0,0,0,0,0,2,5
"131","B33340-33529","Skelwith Bridge","Rydal",2,0.00137080191912269,0.56682659355723,33340,33529,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7
"132","B33343-33510","Loughrigg Fell, Loughrigg","Ambleside",2,0.00137080191912269,0.568197395476353,33343,33510,4,0,0,2,5,0,0,0,0,0,0,0,0,4,9
"133","B33350-33431","Ravenglass","Windermere",2,0.00137080191912269,0.569568197395475,33350,33431,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"134","B33350-33453","Ravenglass","Ullswater",2,0.00137080191912269,0.570938999314598,33350,33453,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8
"135","B33351-33430","Muncaster Castle","Bowness",2,0.00137080191912269,0.572309801233721,33351,33430,4,0,0,1,2,0,0,0,0,0,0,0,0,2,4
"136","B33352-33434","Tarn Hows","Kendal",2,0.00137080191912269,0.573680603152843,33352,33434,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"137","B33353-33364","Elterwater","Langdales",2,0.00137080191912269,0.575051405071966,33353,33364,5,0,0,7,21,0,0,0,0,0,0,0,0,8,23
"138","B33353-33430","Elterwater","Bowness",2,0.00137080191912269,0.576422206991088,33353,33430,8,0,0,2,8,0,0,0,0,0,0,0,0,2,8
"139","B33353-33431","Elterwater","Windermere",2,0.00137080191912269,0.577793008910211,33353,33431,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"140","B33355-33358","Old Dungeon Ghyll","Low Arnside, Coniston",2,0.00137080191912269,0.579163810829334,33355,33358,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"141","B33355-33364","Old Dungeon Ghyll","Langdales",2,0.00137080191912269,0.580534612748456,33355,33364,4,0,0,2,12,0,0,0,0,0,0,0,0,4,16
"142","B33358-33558","Low Arnside, Coniston","Keswick",2,0.00137080191912269,0.581905414667579,33358,33558,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"143","B33362-33391","Chapel Stile","Buttermere",2,0.00137080191912269,0.583276216586702,33362,33391,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"144","B33364-33420","Langdales","Morecambe",2,0.00137080191912269,0.584647018505824,33364,33420,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"145","B33364-33453","Langdales","Ullswater",2,0.00137080191912269,0.586017820424947,33364,33453,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"146","B33364-33487","Langdales","Newcastle",2,0.00137080191912269,0.58738862234407,33364,33487,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"147","B33364-33537","Langdales","Patterdale",2,0.00137080191912269,0.588759424263192,33364,33537,8,0,0,1,4,0,0,0,0,0,0,0,0,3,12
"148","B33364-33640","Langdales","Brockhole",2,0.00137080191912269,0.590130226182315,33364,33640,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7
"149","B33379-33510","South Lakes Animal Park, Dalton in Furness","Ambleside",2,0.00137080191912269,0.591501028101438,33379,33510,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"150","B33399-33430","Grange, Keswick","Bowness",2,0.00137080191912269,0.59287183002056,33399,33430,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"151","B33400-33507","Thirlmere","Hawkshead",2,0.00137080191912269,0.594242631939683,33400,33507,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7
"152","B33410-33507","Lancaster Railway Station, Lancaster","Hawkshead",2,0.00137080191912269,0.595613433858805,33410,33507,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"153","B33410-33589","Lancaster Railway Station, Lancaster","Carlisle",2,0.00137080191912269,0.596984235777928,33410,33589,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"154","B33415-33507","Milnthorpe","Hawkshead",2,0.00137080191912269,0.598355037697051,33415,33507,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"155","B33419-33431","Staveley","Windermere",2,0.00137080191912269,0.599725839616173,33419,33431,12,1,3,2,5,0,0,1,2,0,0,0,0,7,24
"156","B33420-33510","Morecambe","Ambleside",2,0.00137080191912269,0.601096641535296,33420,33510,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"157","B33428-33510","Ferry Nab Crossing, Bowness","Ambleside",2,0.00137080191912269,0.602467443454419,33428,33510,12,0,0,0,0,2,12,0,0,0,0,0,0,2,12
"158","B33430-33470","Bowness","Waterhead",2,0.00137080191912269,0.603838245373541,33430,33470,4,0,0,1,4,6,14,0,0,0,0,0,0,9,22
"159","B33430-33514","Bowness","Hale",2,0.00137080191912269,0.605209047292664,33430,33514,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7
"160","B33430-33529","Bowness","Rydal",2,0.00137080191912269,0.606579849211787,33430,33529,7,1,3,1,3,0,0,0,0,0,0,0,0,4,13
"161","B33430-33533","Bowness","Bury",2,0.00137080191912269,0.607950651130909,33430,33533,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"162","B33430-33537","Bowness","Patterdale",2,0.00137080191912269,0.609321453050032,33430,33537,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"163","B33430-33541","Bowness","Troutbeck Pub, Troutbeck",2,0.00137080191912269,0.610692254969155,33430,33541,4,1,4,0,0,0,0,0,0,0,0,0,0,3,8
"164","B33430-33579","Bowness","Barnard Castle",2,0.00137080191912269,0.612063056888277,33430,33579,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"165","B33430-33592","Bowness","Leeds",2,0.00137080191912269,0.6134338588074,33430,33592,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"166","B33430-33619","Bowness","Sedburgh",2,0.00137080191912269,0.614804660726523,33430,33619,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"167","B33431-33470","Windermere","Waterhead",2,0.00137080191912269,0.616175462645645,33431,33470,9,0,0,0,0,2,5,0,0,0,0,0,0,4,14
"168","B33431-33479","Windermere","Penrith",2,0.00137080191912269,0.617546264564768,33431,33479,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"169","B33431-33589","Windermere","Carlisle",2,0.00137080191912269,0.61891706648389,33431,33589,4,1,1,1,4,0,0,0,0,1,4,0,0,4,9
